EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 03:28:28;;Process Simple Event;L Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:28;;Process Simple Event;LLL Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:28;;Process Simple Event;LL Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:28;;Process Simple Event;L Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:29;;Network Messages;The action Schdule_AG_NORI_20s104w_20177_1 completed OK.;;;;Scheduler;Industrial IT Application Scheduler;{545FC42D-F13A-4137-B001-0185947FCBDB};;;;IMS01-NO1;Scheduler
 05-28-2021 03:28:29;;Process Simple Event;LLL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:29;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:29;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:31;;Network Messages;The action Schedule_AG_NORI_5s8w_20180_1 completed OK.;;;;Scheduler;Industrial IT Application Scheduler;{545FC42D-F13A-4137-B001-0185947FCBDB};;;;IMS01-NO1;Scheduler
 05-28-2021 03:28:31;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS02-NO1;;{1991DB09-A9F4-417B-B442-E4B3E8A83152};;;;CS02-NO1;AdvHtHistorySrv
 05-28-2021 03:28:38;;Process Simple Event;HHH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:38;;Process Simple Event;HH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:38;;Process Simple Event;H Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:40;;Process Simple Event;HHH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:40;;Process Simple Event;HH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:40;;Process Simple Event;H Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:49;;Process Simple Event;LLL Falling;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
 05-28-2021 03:28:49;;Process Simple Event;LL Falling;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
